EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
mother	madre	mère	mãe	kinship	$tuwaʃi$ <túwaʃi> (madre) {Melendez 2011}	$-hádoa$ (mãe) {Ramirez 2001}	$yaka$ (mãe) {Oliveira 93}	<hanúá> $hanúá$ (mãe) {Epps}	<atúa> $atúa$ (mãe) {Epps}	$aáme$ (mãe) {Allin 1979}, $-hanáva$ (mãe) {Allin 1979}	$há-do$ (mãe) {Aikhenvald 2001}	$nuʃuɾami$ (mãe) {Aikhenvald 2012}	$alohi$ (mãe) {Epps}
mother-in-law	suegra	belle-mère	sogra	kinship	$ne:ruʃi$ <néeruʃi> (suegra) {Melendez 2011}	$-ɲheɻo$ (sogra) {Ramirez 2001}				$ʃéedó$ (sogra) {Allin 1979}	$di-ñháwe-ɾu$ (sogra) {Aikhenvald 2001}	$matuimi neyawa$ (sogra) {Aikhenvald 2012}	$yahnéɾuhi$ (sogra) {Schauer 2005}
mouth	boca	bouche	boca	body part	$numaʃi$ <númaʃi> (boca) {Melendez 2011}	$-nóma$ (boca) {Ramirez 2001}	$numa$ (boca) {Oliveira 93}	<numa> $numa$ (boca) {Epps}	<nùma> $nùma$ (boca) {Epps}	$nó$ (boca) {Epps}	$di-núma$ (boca) {Aikhenvald 2001}	$nunúma$ (boca) {Aikhenvald 2012}	$numahi$ (boca) {Epps}
much	mucho	beaucoup	muito	other	$itʃabai$ <itʃabai> (mucho) {Melendez 2011}, $bahiala$ <báhiala> (mucho) {Melendez 2011}	$hanípa$ (muito) {Ramirez 2001}, $hóɻe$ (muito) {Ramirez 2001}, $manópe$ (muito) {Ramirez 2001}					$hanípa$ (muito) {Aikhenvald 2001}, $sóme$ (muito) {Aikhenvald 2001}, $tsóme$ (muito) {Aikhenvald 2001}, $tsúme$ (muito) {Aikhenvald 2001}, $súme$ (muito) {Aikhenvald 2001}, $hanúpe$ (muito) {Aikhenvald 2001}		$íkiʔiha$ (muito) {Schauer 2005}
music	música	musique	música	other					$ipuìkaná$ (música) {Klumpp 1995}, $isànaná$ (música) {Klumpp 1995}				
naked	desnudo	dénudé, nu	nu	other	$huʃikai$ <húʃikai> (desnudo) {Melendez 2011}	$maná:ni$ (nu) {Ramirez 2001}			$mabàɺéɾi$ (desnudo) {Klumpp 1995}	$tsijíʔgi-$ (nú) {Allin 1979}			$maʔaɾumakaɾu$ (nu) {Schauer 2005}
name	nombre	nom	nome	other	$hiʔinaʃi$ <hiʔinaʃi> (nombre) {Melendez 2011}	$-i:pítana$ (nome) {Ramirez 2001}		<íí> $íí$ (nome) {Epps}	<ípidená> $ípidená$ (nome) {Epps}	$iivú$ $iivú$ (nome) {Epps}	$kepitána$ (nome) {Aikhenvald 2001}	$nuʃina$ (nome) {Aikhenvald 2012}	$iíhi$ $iíhi$ (nome) {Epps}
narrow	estrecho, angusto	étroit	estreito	other	$aulukue$ <áulukue> (estrecho) {Melendez 2011}	$tsoopéki$ (estreito) {Ramirez 2001}			$máukuíri$ (estreito) {H&R 1992}	$suúʔ$ (estreito) {Allin 1979}, $ooʒaʒáʔ$ (estreito) {Allin 1979}		$puɾapiami$ (estreito) {Aikhenvald 2012}	$kamuʔuhúni$ (estreito) {H&R 1992}
near	cerca	près de, proche	próximo	other	$uruni$ <urúni> (cerca, próximo) {Melendez 2011}	$tsó:me$ (próximo) {Ramirez 2001}			<núuwãi> $núuwãi$ (perto) {Epps}	$aiʒánúʔ$ (cerca) {Allin 1979}	$di-ɾukúitaka$ (perto) {Aikhenvald 2001}, $dʰiwéʃi$ $dhiwéʃi$ (perto) {Epps}	$mana$ (perto) {Aikhenvald 2012}	$núɾupihi$ $núɾupihi$ (pɾóximo) {Epps}
neck	cuello	cou	pescoço	body part	$wa:ʃi$ <wáaʃi> (cuello) {Melendez 2011}	$-nó:ɻo$ (pescoço) {Ramirez 2001}	$nu-ʰnu$ (pescoço) {Oliveira 93}	<kanhapi> $kanhapi$ (pescoço) {Epps}	<canápi> $kanápi$ (pescoço) {Epps}	$-iɲotʃhí$ (pescoço) {Allin 1979}	$dhinúɾu$ (pescoço) {Aikhenvald 2001}	$nunupi$ (pescoço) {Aikhenvald 2012}	$núɾupihi$ $núɾupihi$ (pescoço) {Epps}
necklace/neck adornment	collar	coller	colar	material culture	$wabaiʃi$ <wabáiʃi> (collar) {Melendez 2011}	$maɺójo$ (colar) {Ramirez 2001}			$nu-kanábàpi$ (collar) {Klumpp 1995}	$ootshí$ (colar) {Allin 1979}	$padápi$ (colar) {Aikhenvald 2001}, $padapíkha$ (colar) {Aikhenvald 2001}, $paɾakéda$ (colar) {Aikhenvald 2001}		$ihnehí$ (colar) {Schauer 2005}
negative existential	no haber	n'être pas, n'avoir pas	não haver	verb.stat									
nephew	sobrino	neveu	sobrinho	kinship	$iwiʃi$ <íwiʃi> (sobrino) {Melendez 2011}	$-íwi$ (sobrinho) {Ramirez 2001}, $-e:ɻi$ (sobrinho) {Ramirez 2001}			$nuìβi$ (sobrino) {Klumpp 1995}	$-eʔpíitsú$ (sobrinho de homem) {Allin 1979}, $-nakéegí$ (sobrinho de mulher) {Allin 1979}	$di-duá-ɾi$ (sobrinho) {Aikhenvald 2001}, $paiduáɾi$ (sobrinho) {Aikhenvald 2001}	$tani nuku enami$ (sobrinho) {Aikhenvald 2012}	$eʔepihahi$ (sobrino) {Schauer 2005}
nettle	ortiga, ishango	ortie	urtiga	plant		$makatóda$ (urtiga) {Ramirez 2001}, $owine$ (urtiga) {Ramirez 2001}				$evetsítú$ (urtiga) {Allin 1979}			$yuwiʔiné$ (ortiga) {Schauer 2005}
new	nuevo	nouveau	novo	other	$wa:li:$ <wáalii> (nuevo) {Melendez 2011}	$é:mi$ (novo) {Ramirez 2001}, $waɺi-$ (novo) {Ramirez 2001}, $japiápaɺi$ (novo) {Ramirez 2001}	$awibei$ (novo) {Oliveira 93}	<wárit̪é> $wárit̪é$ (novo) {Epps}	<wàlisàiri> $wàlisàiri$ (novo) {Epps}	$beʔé$ (novo) {Epps}	$walíte$ (novo) {Aikhenvald 2001}, $emíte$ (novo) {Aikhenvald 2001}	$weniapeɾi$ (novo) {Aikhenvald 2012}	$wahé$ $wahé$ (novo) {Epps}
niece	sobrina	nièce	sobrinha	kinship	$íwiʃi$ <íwiʃi> (sobrino) {Melendez 2011}	$-é:ɻo$ (sobɻinha) {Ramirez 2001}, $-maɺhít̺a$ (sobrinha) {Ramirez 2001}			$nìβiù$ (sobrina) {Klumpp 1995}	$-eʔpíitsú$ (sobrinha de homem) {Allin 1979}, $-nakéegí$ (sobrinha de mulher) {Allin 1979}	$di-duá-ɾu$ (sobrinha) {Aikhenvald 2001}		$eʔepihaɾuhi$ (sobrinha) {Schauer 2005}
night	noche	nuit	noite	temporal adv	$ta:je$ <táaje> (noche) {Melendez 2011}	$dé:pi$ (noite) {Ramirez 2001}	$hebinama$ (noite) {Oliveira 93}	<néápi> $néápi$ (noite) {Epps}	<catá> $katá$ (noite) {Epps}	$naapí$ (noite) {Epps}	$dé:pi$ (noite) {Aikhenvald 2001}, $dépi$ (noite) {Aikhenvald 2001}	$yaʃapua$ (noite) {Aikhenvald 2012}	$lapí$ $lapí$ (noite) {Epps}
non-indigenous person, white person	persona blanca, blanco, extranjero, foráneo	personne blanche, étranger	branco, estrangeiro, pessoa estrangeira	other		$jaɺánawi$ (branco) {Ramirez 2001}	$barini$ (braco) {Oliveira 93}				$halíte$ (branco) {Aikhenvald 2001}		$kaɾiwa$ (pessoa que não indígena) {Schauer 2005}
nose	nariz	nez	nariz	body part	$dakuʃi$ <dákuʃi> (nariz) {Melendez 2011}	$-hitáko$ (nariz) {Ramirez 2001}	$ti$ (nariz) {Oliveira 93}	<hitákú> $hitákú$ (nariz) {Epps}	<ídacu> $ídaku$ (nariz) {Epps}	$-hitákó$ (nariz) {Allin 1979}	$di-thakú$ (nariz) {Aikhenvald 2001}	$nuyapa$ (nariz) {Aikhenvald 2012}	$takuhi$ (nariz) {Epps}
not	no	ne/pas	não	other			$hena$ (não) {Oliveira 93}	<uka> $uka$ (não) {Epps}	<càmita> $kàmita$ (não) {Epps}				$unká$ (não) {Epps}
not know / I.don't.know	no saber	ne savoir pas	não saber	verb.stat					<kàmita ká:ɺíakaná$ (no se sabe) {Klumpp 1995}		$ma-yekana-de$ (não se sabe) {Aikhenvald 2001}		
nothing	nada	rien	nada	other						$kaí$ (nada) {Allin 1979}		$beneʃi$ (nada) {Aikhenvald 2012}	$meɲaɾu$ (nada) {Schauer 2005}
now, today	hoy, ahora	aujourd'hui, maintenant		other			$wakʰetei$ (hoje) {Oliveira 93}, $yaharika$ (agora) {Oliveira 93}		$siùka$ (agora) {Klumpp 1995}			$yaɾiwa$ (agora) {Aikhenvald 2012}	$tʃuwa$ (agora) {Schauer 2005}
obtain	conseguir, obtener	obtenir	obter, conseguir	verb.act		$-dzé:ka$ (conseguir) {Ramirez 2001}			$nuedáka$ (conseguir) {Klumpp 1995}	$-toʔvá$ (conseguir) {Allin 1979}	$di-khúida$ (conseguir) {Aikhenvald 2001}, $di-kúida$ (conseguir) {Aikhenvald 2001}		
old	viejo	vieux	velho	other	$salirani$ <salírani> (viejo, anciano) {Melendez 2011}	$pedáɺia$ (velho, animado) {Ramirez 2001}, $opi-$ (velho, inanimado) {Ramirez 2001}	$dua$ (velho) {Oliveira 93}	<íipe-ri> $íipe-ri$ (velho) {Epps}	<wasìeli> $wasìeli$ (velho) {Epps}, $béeri$ (homem velho) {H&R 1992}	$pʰaigí$ (velho) {Allin 1979}	$pedália$ (velho) {Aikhenvald 2001}, $pedálie$ (velho) {Aikhenvald 2001}	$eteneɾi$ (velho) {Aikhenvald 2012}	$hupitʃumi$ (velho) {Epps}, $pʰíhuʔuke$ (velho) {Epps}
older brother	hermano/a mayor	frère/sœur ainé(e)	irmão / irmã mais	kinship		$-phe:ɻi$ (irmão) {Ramirez 2001}					$di-phé-ɾi$ (irmão mais velho) {Aikhenvald 2001}	$nuyaɾitua etene$ (irmão mais velho) {Aikhenvald 2012}	$oʔowé$ (irmão mais velho) {Schauer 2005}
older sibling, opposite sex	hermano/a mayor	frère/sœur ainé(e)	irmão / irmã mais	kinship	$tuinaa$ <túinaa> (hermano mayor) {Melendez 2011}				$nubè:ɾi$ (hermano mayor) {Klumpp 1995}, $táta$ (hermano o hermana mayor) {Klumpp 1995}				$oʔowé$ (irmão mais velho) {Schauer 2005}
older sister	hermana mayor	grande soeur	irmã mais velha	kinship		$-phe:ɻo$ (irmã maior) {Ramirez 2001}					$di-phé-ɾu$ (irmã mais velha) {Aikhenvald 2001}	$nuyaɾia etyawa$ (irmã mais velha) {Aikhenvald 2012}	$oʔoweló$ (irmã mais velha) {Schauer 2005}
one	uno	un	um	num	$a:bai$ <áabai> (uno) {Melendez 2011}	$a(a)pa-$ (um) {Ramirez 2001}	$baku$ (um) {Oliveira 93}	<pa[pu]> $pa[pu]$ (um) {Epps}	<ab[ì-]> $ab[ì-]$ (um) {dp91}, <abe> $abe$ (um) {Epps}	$pa[topʰe]$ (um) {Epps}, $sagú$ (um) {Epps}	$pá:-da$ (um) {Aikhenvald 2001}		$pa(hluwáha)$ (um) {Epps}
open cap, open sth perpendicular to rest of surface, VT	abrir	ouvrir	abrir	verb	$mekueri$ <mékueri> (abrir) {Melendez 2011}	$-mheéta$ (abrir) {Ramirez 2001}		<mée-há> $mée-há$ (abrir) {Epps}	<nùacùaca> $nùakùaka$ (abrir) {Epps}, <nucuculíadaca> $nukukulíadaka$ (abrir) {Epps}	$aʔkó$ (abrir) {Epps}	$dí-ku$ (abrir) {Aikhenvald 2001}, $di-yáka$ (abrir) {Aikhenvald 2001}	$ayta$ (abrir) {Aikhenvald 2012}	$meʔetákahe$ (abrir) {Schauer 2005}
open door, open sth parallel to rest of surface, VT	abrir	ouvrir	abrir	verb	$mekueri$ <mékueri> (abrir) {Melendez 2011}	$-mheéta$ (abrir) {Ramirez 2001}		<mée-há> $mée-há$ (abrir) {Epps}	<nùacùaca> $nùakùaka$ (abrir) {Epps}, <nucuculíadaca> $nukukulíadaka$ (abrir) {Epps}	$aʔkó$ (abrir) {Epps}	$dí-ku$ (abrir) {Aikhenvald 2001}, $di-yáka$ (abrir) {Aikhenvald 2001}		$meʔetákahe$ (abrir) {Schauer 2005}
open the mouth	abrir la boca, bostezar	ouvrir la bouche	abrir a boca, bocejar	verb		$-tshawa$ (bocejar) {Ramirez 2001}, $-nóma$ (bocejar) {Ramirez 2001}				$haʔagáʔi-Jú$ (abrir a boca) {Epps}	$di-yatá$ (bocejar) {Aikhenvald 2001}	$tapana$ (bocejar) {Aikhenvald 2012}	
open, make expand, e.g. of a canoe, VT	abrir	faire ouvrir	abrir	verb									
opossum	zarigueya	opossum	gambá	animal				<t̪iírí> $t̪iírí$ (lontra) {Epps}		$itsíigí$ (lontra) {Epps}			$itʃiɾí$ (mucura) {Rk83}, $mahetʃí$ (mucura) {R95}
order, command	ordenar, mandar (a una persona)	commander, ordonner	mandar, comandar	verb	$ʃikieri$ <ʃíkieri> (ordenar) {Melendez 2011}	$-na:$ (mandar) {Ramirez 2001}, $-pi:ɻi$ (mandar) {Ramirez 2001}			$nubànùaka$ (mandar) {Klumpp 1995}, $nutʃù:ɺìaka$ (mandar) {Klumpp 1995}		$di-pána$ (mandar) {Aikhenvald 2001}, $di-pánua$ (mandar) {Aikhenvald 2001}, $di-pánoa$ (abrir) {Aikhenvald 2001}		$wakáɾaʔakahe$ (mandar) {Schauer 2005}
orphan	huérfano	orphelin	órfão	kinship		$mhaniɻídaɺi$ (órfão) {Ramirez 2001}			$masè:náiɾi$ (huérfano) {Klumpp 1995}	$moneégí$ (órfão) {Allin 1979}	$há-do-sedite$ (órfão) {Aikhenvald 2001}		$matʃiʔinaɾu$ (órfão) {Schauer 2005}
other	otro	autre	outro	other	$a:bi$ <áabi> (otro) {Melendez 2011}	$a(a)pa-$ (outro) {Ramirez 2001}	$bakuni$ (outro) {Oliveira 93}	$papu$ (outro) {H&R 1992}	<áiba> $áiba$ (outro) {Epps}	$apáapí$ (outro) {Allin 1979}		$imaɾu$ (outro) {Aikhenvald 2012}	$apú$ (outro) {Epps}
other side of river	otro lado	autre côté de la rivière	outro lado	other					$abé:mà:$ (outro lado) {Klumpp 1995}				
outside	afuera	dehors	fora	other		$padá:na$ (fora) {Ramirez 2001}	$pʰandite$ (fora) {Oliveira 93}			$anikhó$ (afora) {Allin 1979}			$wakaʔapé$ (fora) {Schauer 2005}
paca	majás, Cuniculus	paca	paca	animal	$ta:ba$ (paca) {Ramirez 2001}	$dá:pa$ (paca) {Ramirez 2001}	$yaba$ (paca) {Oliveira 93}	<náapa> $náapa$ (paca) {Epps}	<tába> $tába$ (paca) {Epps}	$naápú$ (paca) {Epps}	$dá:pa$ (paca) {Aikhenvald 2001}	$ya:pa$ (paca) {Aikhenvald 2012}	$kuwahaɾi$ (paca) {Epps}
paddle	remo	pagaie	remo	other	$te:na$ <téena> (remo) {Melendez 2011}	$t̺iíwe$ (remo) {Ramirez 2001}		<jejía> $jejía$ (remo) {Epps}	<téna> $téna$ (remo) {Epps}	$boeʔkʰóotsí$ (remo) {Epps}	$hekutá$ (remo) {Aikhenvald 2001}	$neyupa$ (remo) {Aikhenvald 2012}	$weʔetʃí$ (remo) {Epps}
paddle (V)	bogar, remar	pagayer	remar	verb	$ténieriu$ <ténieriu> (remar) {Melendez 2011}	$-déna:$ (remar) {Ramirez 2001}			$nutenáka$ (remar) {Klumpp 1995}	$boeʔ-khú$ (remar) {Allin 1979}	$di-déna$ (remar) {Aikhenvald 2001}, $di-matamatá$ (remar com dois remos) {Aikhenvald 2001}	$neyua$ (remar) {Aikhenvald 2012}	$leɲakahe$ (remar) {Schauer 2005}
paint (V)	pintar	peintre	pintar	verb	$sakeri$ <sákeri> (pintar) {Melendez 2011}		$ʰwada$ (pintar) {Oliveira 93}		$nusaká:ka$ (pintar) {Klumpp 1995}	$tsaagi-khú$ (pintar) {Allin 1979}	$di-dána$ (pintar) {Aikhenvald 2001}		$eʔehatákahe$ (pintar) {Schauer 2005}
painted (spotted)	pintado	peint	pintado, manchado	other		$kadapáɺe$ (pintado) {Ramirez 2001}			$katànè:ɾi$ (pintado) {Klumpp 1995}				$eʔehatákehami$ (pintado) {Schauer 2005}
palm sp.	(h)ungurahui, milpesos	palmier	patauá	plant		$ponáma$ (patauá) {Ramirez 2001}							$punama$ (parauá) {Schauer 2005}
palm sp. Astrocaryum chambira	chambira	palmier astrocaryum	tucuma	plant		$komaɺhípi$ (tucuma) {Ramirez 2001}	$wetiti$ (tucumã) {Oliveira 93}						$kuʔumé$ (tucuma) {Schauer 2005}
palm sp. Mauritia flexuosa, Sp “aguaje”	aguaje, canangucha	palmier Mauritia flexuoso	buriti, miriti	plant				<téwi> $téwi$ (buriti) {Epps}		$iteeviʔé$ (buriti) {Epps}	$tewída$ (buriti) {Aikhenvald 2001}		$itóɾoʔope$ (buritizeiro) {Schauer 2005}
papaya	papaya	papaye	mamão	other	$mapaja$ <mapája> (papaya) {Melendez 2011}				$mapàja$ (papaya) {Klumpp 1995}			$mabaya$ (mamão) {Aikhenvald 2012}	$mamáu$ (mamão) {Schauer 2005}
parallel cousin (female)	prima	cousine	prima	kinship		$-kitsídoa$ (prima) {Ramirez 2001}, $-tédoaɻo$ (prima) {Ramirez 2001}			$nudetúaɺu$ (prima) {Klumpp 1995}	$héʃó$ (prima de homem) {Allin 1979}, $-náadopíʒé$ (prima de mulher) {Allin 1979}			$aláwaʔahi$ (pɾrma ou primo materno) {Schauer 2005} , $oʔowé$ (prima ou primo materno) {Schauer 2005}, $meɾémihi$ (prima ou primo mais novo) {Schauer 2005}
parallel cousin (male)	primo	cousin	primo	kinship		$-kítsini$ (primo) {Ramirez 2001}, $-tédoaɺi$ (primo) {Ramirez 2001}, $-i:téna:$ (primo) {Ramirez 2001}				$-náagígí$ (primo) {Alli 1979}		$neɾima$ (primo) {Aikhenvald 2012}	$aláwaʔahi$ (prima ou primo materno) {Schauer 2005}, $oʔowé$ (prima ou primo materno) {Schauer 2005}, $meɾémihi$ (prima ou primo mais novo) {Schauer 2005}
parrot, Amazona spp., generic or particular	loro	perroquet	papagaio	bird		$wá:ɻo$ (papagaio) {Ramirez 2001}, $koɺíkoɺi$ (papagaio) {Ramirez 2001}	$kuyaw$ (papagaio) {Oliveira 93}	<wáaru> $wáaru$ (papagaio) {Epps}	<dùlewasíwa> $dùlewasíwa$ (papagaio) {Epps}, $dulèwa$ (papagaio) {H&R 1992}	$dʒoódú$ (papagaio) {Epps}		$waɾu$ (papagaio) {Aikhenvald 2012}	$pakoɾó$ (papagaio) {Epps}
pass (VI)	pasar	passer	passar	verb.intr.		$-dzé:na$ (passar) {Ramirez 2001}, $kaíwhia$ (passar) {Ramirez 2001}				$-haapí$ (passar) {Allin 1979}	$di-yéna$ (passar) {Aikhenvald 2001}		$haʔapátakahe$ (passar) {Schauer 2005}, $aʔapátakahe$ (passar) {Schauer 2005}
paternal aunt	tia, hermana del padre	tante, sœur du père	tia, irmã do pai	kinship	$kuu$ <kúu> (tía) {Melendez 2011}	$-koiɻo$ (tia) {Ramirez 2001}, $-hadoá-phe:ɻo$ (tia) {Ramirez 2001}, $-hadoaténa:$ (tia) {Ramirez 2001}			$kù:$(hermana de mi padre) {Klumpp 1995}, $nukuíɾu$ (hermana de mi padre) {Klumpp 1995}		$di-kwí-ɾu$ (tia: irmã do pai) {Aikhenvald 2001}, $di-kúi-ɾu$ (tia: irmã do pai) {Aikhenvald 2001}	$nuʃuteya$ (tia) {Aikhenald 2012}	$okuɾu$ (tia paterna) {Schauer 2005}
path	camino	chemin	trilha	terrain	$inihiba:$ <iníhibaa> (camino, trocha) {Melendez 2011}	$inípo$ (trilha) {Ramirez 2001}, $-a:pówa$ (trilha) {Ramirez 2001}, $-a:powána:$ (trilha) {Ramirez 2001}	$dinabu$ (caminho) {Oliveira 93}	<apú-há> $apú-há$ (caminho) {Epps}, <jóopu> $jóopu$ (caminho) {Epps}, <ajápú> $ajápú$ (caminho) {Epps}	<àyapu> $àjapu$ (caminho) {Epps}	$adʒápó$ (caminho) {Epps}, $éhuúhí$ (caminho) {Epps}	$hinípu$ (caminho) {Aikhenvald 2001}	$epuna$ (caminho) {Aikhenvald 2012}, $tenepu$ (caminho) {Aikhenvald 2012}	$iɲeʔepú$ (caminho) {Schauer 2005}
peach palm, Bactris gasipaes	pupuna, chontaduro, pijuayo	palmier Bactris gasipaes	pupunha	plant		$pí:piɻi$ (pupunha) {Ramirez 2001}		<pípiri> $pípiri$ (pupunha) {Epps}	<pipìri> $pipìɾi$ (pupunha) {Epps}	$pipíigí$ (pupunha) {Epps}	$pípiɾi$ (pupunha) {Aikhenvald 2001}, $púpeɾi$ (pupunha) {Aikhenvald 2001}	$we:pi$ (pupunha) {Aikhenvald 2012}	$pipiɾí$ $pipiˈɾi$ (pupunha) {Epps}
peck	picotear	picorer	bicar	verb								$yubita$ (bicar) {Aikhenvald 2012}	$tʃilaʔatákahe$ (bicar para comer algo) {Schauer 2005}, $tupaʔakahe$ (bicar paɾa machucar) {Schauer 2005}
peel fruit, skin animal, remove skin/peel that closely adheres to sth	pelar	peler	descascar	verb	$eekueri$ <éekueri> (pelar, rayar) {Melendez 2011}	$-ko$ (descascar) {Ramirez 2001}			$nutʃaɺà:ka$ (pelar) {Klumpp 1995}	$-méʔkó$ (descascar) {Allin 1979}	$di-dála$ (descascar) {Aikhenvald 2001}	$guwiʃa$ (descascar) {Aikhenvald 2012}	$lahoʔokahe$ (descascar) {Schauer 2005}
peel manioc, peel sth with easily removed skin	pelar	peler	descascar	verb	$eekueri$ <éekueri> (pelar, rayar) {Melendez 2011}	$-ko$ (descascar) {Ramirez 2001}			$nutʃalà:ka$ (pelar) {Klumpp 1995}	$-méʔkó$ (descascar) {Allin 1979}	$di-dála$ (descascar) {Aikhenvald 2001}	$guwiʃa$ (descascar) {Aikhenvald 2012}	$lahoʔokahe$ (descascar) {Schauer 2005}
penis	pene	penis	pênis	body part	$tʃipitʃi$ (pene) {Melendez 2011}	$-méthoa$ (pênis) {Ramirez 2001}					$di-thi-ní-na$ (pênis) {Aikhenvald 2001}		$ihihi$ (pênis) {Schauer 2005}
people	gente	gens	pessoas	other		$newíki$ (pessoa) {Ramirez 2001}	$kʰinenei$ (gente) {Oliveira 93}	<néki-ri> $néki-ɾi$ (pessoa) {Epps}	<wenàiwica> $wenàiwika$ (pessoas) {Epps}	$ináaviʔʒaánigí$ (pessoa) {Epps}	$nawíki$ (pessoas) {Aikhenvald 2001}	$ñamaɾi$ (gente) {Aikhenvald 2012}	$inaʔuké$ (pessoa) {Epps}
pineapple	piña	ananas	abacaxi	plant.edible	$na:nana$ (piña) {Melendez 2011}	$má:wiɻo$ (abacaxi) {Ramirez 2001}	$mawahauri$ (abacaxi) {Oliveira 93}	<máwiru> $máwiru$ (abacaxi) {Epps}	<màwiru> $màwiɾu$ (abacaxi) {Epps}	$nanáanaʔó$ (abacaxi) {Epps}, $améetsʰaú$ (abacaxi) {Epps}	$mawína$ (abacaxi) {Aikhenvald 2001}	$mawina$ (abacaxi) {Aikhenvald 2012}	$mawiɾu$ (abacaxi) {Epps}
piranha	piraña, paña, palometa	piranha	piranha	fish		$ómai$ (piranha) {Ramirez 2001}	$bawmehe$ (piranha) {Oliveira 93}	<máa> $máa$ (piranha) {Epps}	<umái> $umái$ (piranha) {Epps}	$mepókó$ (piranha) {Epps}	$úmai$ (piranha) {Aikhenvald 2001}, $peɾoáli$ (piranha) {Aikhenvald 2001}, $úmai káini$ (piranha) {Aikhenvald 2001}	$pa:ɾuma$ (piranha) {Aikhenvald 2012}	$maí$ (piranha) {Epps}, $hipuʔuhmá$ (piranha) {Epps}
pitch	brea	brai	arremesso, breu, piche, betume	other		$máini$ (breu) {Ramirez 2001}				$maání$ (arremesso) {Allin 1979}	$máini$ (breu) {Aikhenvald 2001}		
placenta	placenta	placenta	placenta	body part	$jebaʃi$ (placenta) {Melendez 2011}	$-já:pa$ (placenta) {Ramirez 2001}			$jé:ba$ (placenta) {Klumpp 1995}				$makutehi$ (placenta) {Schauer 2005}
plant (seed)	sembrar semilla	semer	semear, cultivar, plantar	verb	$ja:baneri$ (sembrar) {Melendez 2011}	$-wéka$ (semear) {Ramirez 2001}	$bana$ (plantar) {Oliveira 93}		$nubànaka$ (sembrar) {Klumpp 1995}	$himiítsí-khú$ (cultivar) {Allin 1979}	$dí-pana$ (semear, cultivar) {Aikhenvald 2001}		$ehátakahe$ (semear) {Schauer 2005}
plantain	plátano	banane plantain	banana-da-terra, tachagem	plant.edible	$palatuna$ (platano) {Melendez 2011}	$paɺána$ (banana) {Ramirez 2001}	$panara$ (banana) {Oliveira 93}	<néripana> $néɾipana$ (banana) {Epps}	<palátuna> $palátuna$ (banana) {H&R 1992}	$ʃakooʔgíʔó$ (banana) {Epps}	$déɾi$ (banana) {Aikhenvald 2001}, $de:ɾi$ (banana) {Aikhenvald 2001}	$paɾatana$ (banana) {Aikhenvald 2012}	$kamíyaʔala$ (banana) {Schauer 2005}
play	jugar	jouer	jogar	verb	$sewikiri$ (jugar) {Melendez 2011}	$-kakóɺha$ (jogar) {Ramirez 2001}, $-peéko$ (jogar) {Ramirez 2001}	$ʰnuka$ (jogar) {Oliveira 93}		$nusàiβikaka$ (jugar) {Klumpp 1995}	$-(ʔ)méní$ (jogar) {Allin 1979}	$di-pé$ (jogar) {Aikhenvald 2001}	$miwata$ (jogar) {Aikhenvald 2012}	$kátakaho$ (jogaɾ) {Schauer 2005}
pleiades	pléyades	pléiades	plêiades	other		$waɺípeɻe$ (plêiades) {Ramirez 2001}					$walipéɾa$ (plêiades) {Aikhenvald 2001}, $walipéɾe$ (plêiades) {Aikhenvald 2001}	$aʃuɾuteɾi$ (Plêiades) {Aikhenvald 2012}	
point (finger)	señalar con el dedo	indiquer, montrer du doigt	apontar o dedo	verb		$-kemanáta$ (afiar) {Ramirez 2001}, $-t̺íoka$ (afiar) {Ramirez 2001}			$núasáidaka$ (indicar) {Klumpp 1995}, $nú:maka$ (indicar) {Klumpp 1995}	$kuhúʔ-khú$ (indicar) {Allin 1979}			
poison, for weapons (N)	curare, veneno	poison	veneno	other		$mánheni$ (veneno) {Ramirez 2001}		<apári> $apári$ (veneno) {Epps}, $manhé[t̪i]$ {Ramirez 2001}	$ikuɺáɺe$ (veneno) {Klumpp 1995}		$pañiási$ (veneno) {Aikhenvald 2001}, $paniási$ (veneno) {Aikhenvald 2001}, $yá:ni$ (veneno) {Aikhenvald 2001}, $pupáwa$ $pupáwa$ (curare) {Epps}	$wiɾaɾi$ (curare) {Aikhenvald 2012}, $wiyuaɾi$ (veneno) {Aikhenvald 2012}	$puitʃahi$ (veneno) {Schauer 2005}, $pumitʃahi$ (veneno) {Schauer 2005}
port	puerto	port	porto	other		$óɲai$ (porto) {Ramirez 2001}			$ídaluta$ (puerto) {Klumpp 1995}	$hoʒoʔnoómú$ (porto) {Allin 1979}	$uĩ$ (porto) {Aikhenvald 2001}		$punumahi$ (porto) {Schauer 2005}
